title,Journal,category
Salamence takes over Pokemon Go Gym in terrifying eye glitch,Dexerto,gym
Tarleton to play makeup game against SFA Monday afternoon at ...,Tarleton State University Athletics,gym
Tufts' gym isn't working out,Tufts Daily,gym
Moore High School coach arrested for physical confrontation in school gym,WAVE 3,gym
Top-25 Matchup at Paul Wright Gym,Western Colorado University Athletics,gym
Arlington picks up win in Hoosier Gym,The Courier,gym
Restroom the only thing still standing after Pasadena gym destroyed in tornado,KHOU.com,gym
Al Roker’s wife Deborah Roberts gets ready to ‘reset’ with gym routine after Today host’s emotional farewel...,The US Sun,gym
Fed up Pokemon Go trainers call for massive gym overhaul,Dexerto,gym
Pokémon Scarlet & Violet: Glaseado Gym Guide To Beat Grusha,Outsider Gaming,gym
Centenary Ladies Gym Talk: Feb. 8 Edition,Centenary College Athletics,gym
Trinity Thomas earns gym slam in impressive Florida win against No ...,The Independent Florida Alligator,gym
Road Trip To No. 7 Cal This Weekend For No. 21 Gym Devils ...,Sun Devil Athletics,gym
Jennifer Lopez Heads to the Gym in a Sky Blue Monochrome Look ...,Harper's BAZAAR,gym
Burst pipe destroys Chute gym floor; asbestos found in mitigation,Evanston RoundTable,gym
Police raided a gym after Apple’s Siri misheard a personal trainer’s words,Fortune,gym
Gym remembers Muay Thai fighter killed in North Las Vegas attack,Fox 5 Las Vegas,gym
Baby Gym,Madison Public Library,gym
Edward Little to bid old gym adieu during season finale basketball ...,Lewiston Sun Journal,gym
The Hall Hosts Creighton on Tuesday in Walsh Gym,SHU Pirates,gym
Centenary Ladies Gym Talk: Feb. 1 Edition,Centenary College Athletics,gym
Chrisean Rock Flexes Insane Deadlift Strength In Gym,HipHopDX,gym
G6 Performance Training gym planned in Midtown,Sacramento ...,gym
